                  Time[d],	              TimeStep[d],	                 Qo[m3/d],	                 Qw[m3/d],	                 Qg[m3/d],	                Qwi[m3/d],	             PwfProd[bar],	              PwfInj[bar],	             PwhProd[bar],	              PwhInj[bar],	            QgFlare[m3/d],	             QgFuel[m3/d],	              QgExp[m3/d],	                 Pump[MW],	                  ESP[MW],	             ExpCompr[MW],	           TotalPower[MW],	    GasEmission[tonCO2/d],	 DieselEmission[tonCO2/d],	  TotalEmission[tonCO2/d],	      CumEmission[tonCO2],	   RelEmission[kgCO2/boe]
                    31.72,	                     0.86,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  1159.83,	                    20.00,	                   884.53,	                    41.10,	                  2014.09,	                     0.00,	                     1.36,	                     0.29,	                     0.00,	                     1.66,	                     3.79,	                     9.77,	                    13.56,	                   459.18,	                    13.17
                    32.74,	                     1.03,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  1158.21,	                    20.00,	                   882.91,	                    41.10,	                  2014.09,	                     0.00,	                     1.36,	                     0.29,	                     0.00,	                     1.65,	                     3.79,	                     9.76,	                    13.55,	                   473.12,	                    13.16
                    33.98,	                     1.23,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  1152.41,	                    20.00,	                   877.11,	                    41.10,	                  2014.09,	                     0.00,	                     1.35,	                     0.29,	                     0.00,	                     1.64,	                     3.79,	                     9.70,	                    13.50,	                   489.78,	                    13.11
                    35.46,	                     1.48,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  1150.33,	                    20.00,	                   875.03,	                    41.10,	                  2014.09,	                     0.00,	                     1.35,	                     0.29,	                     0.00,	                     1.64,	                     3.79,	                     9.68,	                    13.48,	                   509.74,	                    13.09
                    36.35,	                     0.89,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  1145.14,	                    20.00,	                   869.84,	                    41.10,	                  2014.09,	                     0.00,	                     1.34,	                     0.29,	                     0.00,	                     1.63,	                     3.79,	                     9.64,	                    13.43,	                   521.68,	                    13.04
                    37.42,	                     1.07,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  1143.79,	                    20.00,	                   868.49,	                    41.10,	                  2014.09,	                     0.00,	                     1.34,	                     0.29,	                     0.00,	                     1.63,	                     3.79,	                     9.62,	                    13.42,	                   535.99,	                    13.03
                    38.70,	                     1.28,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  1138.46,	                    20.00,	                   863.16,	                    41.10,	                  2014.09,	                     0.00,	                     1.33,	                     0.29,	                     0.00,	                     1.62,	                     3.79,	                     9.58,	                    13.37,	                   553.10,	                    12.98
                    40.23,	                     1.54,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  1136.71,	                    20.00,	                   861.41,	                    41.10,	                  2014.09,	                     0.00,	                     1.33,	                     0.29,	                     0.00,	                     1.62,	                     3.79,	                     9.56,	                    13.35,	                   573.60,	                    12.97
                    41.09,	                     0.86,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  1132.02,	                    20.00,	                   856.72,	                    41.10,	                  2014.09,	                     0.00,	                     1.32,	                     0.29,	                     0.00,	                     1.61,	                     3.79,	                     9.52,	                    13.31,	                   585.07,	                    12.93
                    41.78,	                     0.69,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  1131.30,	                    20.00,	                   856.00,	                    41.10,	                  2014.09,	                     0.00,	                     1.32,	                     0.29,	                     0.00,	                     1.61,	                     3.79,	                     9.51,	                    13.30,	                   594.24,	                    12.92
