                  Time[d],	              TimeStep[d],	                 Qo[m3/d],	                 Qw[m3/d],	                 Qg[m3/d],	                Qwi[m3/d],	             PwfProd[bar],	              PwfInj[bar],	             PwhProd[bar],	              PwhInj[bar],	            QgFlare[m3/d],	             QgFuel[m3/d],	              QgExp[m3/d],	                 Pump[MW],	                  ESP[MW],	             ExpCompr[MW],	           TotalPower[MW],	    GasEmission[tonCO2/d],	 DieselEmission[tonCO2/d],	  TotalEmission[tonCO2/d],	      CumEmission[tonCO2],	   RelEmission[kgCO2/boe]
                    20.33,	                     0.80,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  1225.04,	                    20.00,	                   949.74,	                    41.10,	                  2014.09,	                     0.00,	                     1.46,	                     0.29,	                     0.00,	                     1.76,	                     3.79,	                    10.37,	                    14.16,	                   312.34,	                    13.75
                    21.29,	                     0.96,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  1221.38,	                    20.00,	                   946.08,	                    41.10,	                  2014.09,	                     0.00,	                     1.46,	                     0.29,	                     0.00,	                     1.75,	                     3.79,	                    10.33,	                    14.13,	                   325.86,	                    13.72
                    21.86,	                     0.57,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  1215.43,	                    20.00,	                   940.13,	                    41.10,	                  2014.09,	                     0.00,	                     1.45,	                     0.29,	                     0.00,	                     1.74,	                     3.79,	                    10.28,	                    14.07,	                   333.93,	                    13.67
                    22.55,	                     0.69,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  1213.07,	                    20.00,	                   937.77,	                    41.10,	                  2014.09,	                     0.00,	                     1.45,	                     0.29,	                     0.00,	                     1.74,	                     3.79,	                    10.26,	                    14.05,	                   343.61,	                    13.65
                    23.38,	                     0.83,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  1206.76,	                    20.00,	                   931.46,	                    41.10,	                  2014.09,	                     0.00,	                     1.44,	                     0.29,	                     0.00,	                     1.73,	                     3.79,	                    10.20,	                    13.99,	                   355.18,	                    13.59
                    24.37,	                     0.99,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  1203.73,	                    20.00,	                   928.43,	                    41.10,	                  2014.09,	                     0.00,	                     1.43,	                     0.29,	                     0.00,	                     1.72,	                     3.79,	                    10.17,	                    13.96,	                   369.04,	                    13.56
                    24.97,	                     0.60,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  1198.35,	                    20.00,	                   923.05,	                    41.10,	                  2014.09,	                     0.00,	                     1.42,	                     0.29,	                     0.00,	                     1.71,	                     3.79,	                    10.12,	                    13.92,	                   377.32,	                    13.51
                    25.68,	                     0.71,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  1196.38,	                    20.00,	                   921.08,	                    41.10,	                  2014.09,	                     0.00,	                     1.42,	                     0.29,	                     0.00,	                     1.71,	                     3.79,	                    10.10,	                    13.90,	                   387.25,	                    13.50
                    26.54,	                     0.86,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  1190.70,	                    20.00,	                   915.40,	                    41.10,	                  2014.09,	                     0.00,	                     1.41,	                     0.29,	                     0.00,	                     1.70,	                     3.79,	                    10.05,	                    13.85,	                   399.12,	                    13.45
                    27.57,	                     1.03,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  1188.15,	                    20.00,	                   912.85,	                    41.10,	                  2014.09,	                     0.00,	                     1.41,	                     0.29,	                     0.00,	                     1.70,	                     3.79,	                    10.03,	                    13.82,	                   413.33,	                    13.42
